station,latitude,longitude,altitude
SLZ,-2.593,-44.212,40
BAB,-1.931,-59.42,230
BJL,-13.234,-43.376,447
CAI,-6.467,-37.085,0
CGR*,-20.438,-54.538,0
CPN,-27.54,-51.415,725
CHP,-27.08,-52.614,700
CBA,-15.555,-56.07,0
CTB,-25.495,-49.331,891
JOI,-26.253,-48.858,48
LEB,-26.989,-50.715,1036
MCL,-16.686,-43.869,675
ORN*,-22.949,-49.894,446
OPO,-10.881,-61.97,200
PIR,-9.618,-37.779,203
RLM,-11.582,-61.774,252
TMA,-5.383,-36.819,24
TLG,-20.751,-51.664,317
UBE,-19.998,-47.9,513
BRB,-15.601,-47.713,1023
CPA,-22.69,-45.006,574
CGR,-20.447,-54.839,415
NAT,-5.837,-35.206,58
ORN,-23.0,-49.844,507
PMA,-10.178,-48.362,216
PTR,-9.069,-40.32,387
STM,-2.683,-54.535,75
SMS,-29.443,-53.823,489
CMS,-24.061,-52.385,580
CTS,-25.508,-49.319,500
FLN,-27.602,-48.518,31
SPK,-27.431,-48.441,15
MDS,-25.3,-54.115,420
BRB,-15.601,-47.713
CPA,-22.69,-45.006
CAI,-6.467,-37.085
SPK,-27.431,-48.441
NAT,-5.837,-35.206
ORN,-23.0,-49.844
PMA,-10.178,-48.362
PTR,-9.069,-40.32
STM,-2.683,-54.535
SMS,-29.443,-53.823
ORN,-23.0,-49.844
BRB,-15.601,-47.713
PTR,-9.069,-40.32
SMS,-29.443,-53.823
TRI,-7.827,-38.122,1123
SCR,-7.382,-36.527,486
BJD,-8.368,-36.429,0
PIR,-9.618,-37.779
ORN*,-22.949,-49.894
CPN,-27.54,-51.415
OPO,-10.881,-61.97
SBR,-29.096,-49.813,15
