acronym;tp_min;tp_max;press_min;press_max;rain_max
BAB;19.2;38.8;806.5;1213.6;2362.4
BJD;14.4;36.0;808.8;1220.4;620.0
BJL;16.5;39.7;808.3;1219.7;755.8
BRB;13.6;32.4;809.9;1222.3;1478.8
CAI;17.6;43.2;806.4;1215.6;550.0
CBA;17.4;40.1;806.4;1218.0;1516.1
CGR;16.0;38.4;808.4;1221.0;1085.2
CGR*;16.0;38.4;808.4;1221.0;1400.0
CHP;12.0;30.1;812.0;1228.8;2163.0
CMS;12.2;31.8;808.5;1223.4;1722.0
CPA;9.6;32.4;809.6;1222.8;1580.0
CPN;10.0;27.2;812.2;1229.8;2146.2
CTB;11.0;28.6;810.8;1226.9;1630.7
CTS;11.0;28.6;810.8;1226.9;1630.7
FLN;14.1;30.5;809.6;1223.9;1766.0
JOI;12.8;31.8;809.2;1223.4;1814.0
LEB;10.0;27.2;812.2;1229.8;2146.2
MCL;14.4;36.1;809.3;1222.4;998.6
MDS;12.2;32.4;808.5;1223.4;1722.0
NAT;18.6;35.6;809.5;1218.8;1691.2
OPO;18.4;40.8;806.0;1215.6;2400.0
ORN;12.0;36.0;808.5;1223.2;1500.0
ORN*;12.0;36.0;808.5;1223.2;1500.0
PIR;17.6;40.8;808.4;1219.8;500.0
PMA;17.6;40.6;806.8;1219.8;1749.6
PTR;18.0;39.0;808.1;1219.9;419.0
RLM;18.0;40.8;806.0;1215.0;2200.0
SBR;13.0;28.1;808.5;1222.1;1583.0
SCR;13.6;36.0;809.8;1220.4;450.0
SLZ;19.3;37.8;806.2;1213.1;2117.1
SMS;11.9;30.5;808.1;1222.8;1777.9
SPK;14.1;30.5;809.6;1223.9;1766.0
STM;17.5;37.4;808.2;1215.4;1878.4
TLG;15.2;37.6;808.8;1222.6;1353.7
TMA;18.4;37.2;808.8;1219.2;700.0
TRI;11.2;33.6;808.8;1220.4;950.0
UBE;13.6;35.8;808.3;1221.6;1658.1
